Model,R2_train,R2_test,RMSE_train,RMSE_test,MAE_train,MAE_test,MAPE_train,MAPE_test,train_time,test_time
CatBoostRegressor,0.9667764133598847,0.7949542753648525,185.66491114822628,459.01379327728625,111.38506948087681,226.00888734504096,0.05212000589471316,0.09608920425175298,2.9983763694763184,0.020270824432373047
LGBMRegressor,0.9206744085260414,0.7913665438855179,286.888563698928,463.0121133886142,178.19512144682795,256.11824107052666,0.0853805366170288,0.11568714215452588,0.25300025939941406,0.018872976303100586
XGBRegressor,0.9890317916870117,0.7729616761207581,106.67788840711087,483.00313792976544,77.32364654541016,269.01171875,0.03897443413734436,0.11789140105247498,0.2681903839111328,0.005120038986206055
ExtraTreesRegressor,1.0,0.7531882192449985,0.0,503.5972150854292,0.0,314.84102,0.0,0.14808590370168986,7.348159551620483,0.10081791877746582
RandomForestRegressor,0.9643175601174618,0.7517864500846032,192.41275063769163,505.02528215372547,120.27928125,318.905525,0.058189649268001166,0.1497794642882094,9.020942211151123,0.08171701431274414
LinearRegression,0.5506755520381175,0.5560985248635133,682.7891345375749,675.372963750902,541.3478349474144,532.9277906581474,0.2858885850845879,0.2788652916727053,0.05787777900695801,0.0006055831909179688
DecisionTreeRegressor,1.0,0.48177779218349726,0.0,729.7235918483108,0.0,476.7145,0.0,0.21397153133283597,0.5373599529266357,0.0014538764953613281
LinearSVR,0.423156603807609,0.46061086790050565,773.6339843486935,744.4773219456499,603.2943708532895,585.9998387691261,0.3074479012584942,0.29792614421795355,0.038407325744628906,0.0005280971527099609
